Server_Name|App_Code|Env|LOCATION|App_Support_Group|App_Support_Group_email|Release|Exception|Deployment|Deployment_Type|Day|Patch_Date_PST|Patch_Day_PST|Patch_Start_Time_PST|Patch_End_Time_PST|Patch_Date_MNL|Patch_Day_MNL|Patch_Start_Time_MNL|Patch_End_Time_MNL|Assigned_Resource|Exclude_List|Patch_Status|POWER_STATUS|Patching_Shift
dgm011bcb|afap|DEV|West US|IT Asset Management|capacity.planning@safeway.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|chris|#N/A|PATCHED|Running|Manila Shift
pgm01157a|afap|PROD|East US|IT Asset Management|capacity.planning@safeway.com|2024 R03|0|Bulk|MANUAL|Day 17|7/25/24|Thursday|10:00 PM|02:00 AM|7/26/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
dgm0114ff|clds|DEV|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|10:00 PM|02:00 AM|7/10/24|Wednesday|01:00 PM|05:00 PM|Chris|not patched|NOT YET Patched|Stopped (deallocated)|Manila Shift
pgm011500|clds|PROD|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|08:00 PM|12:00 AM|7/28/24|Sunday|11:00 AM|03:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
pgm01155b|clds|PROD|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|08:00 PM|12:00 AM|7/28/24|Sunday|11:00 AM|03:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
dgm010e72|CMOD|DEV|West US|Tools Support|0|2024 R03|0|Bulk|MANUAL|Day 01|7/9/24|Tuesday|06:00 PM|10:00 PM|7/10/24|Wednesday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
pgm010e71|CMOD|PROD|West US|Tools Support|0|2024 R03|0|Bulk|MANUAL|Day 18|7/26/24|Friday|10:00 PM|02:00 AM|7/27/24|Saturday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
pgm01102d|CMOD|PROD|East US|Tools Support|0|2024 R03|0|Bulk|MANUAL|Day 18|7/26/24|Friday|10:00 PM|02:00 AM|7/27/24|Saturday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
qgm010e6f|CMOD|QA|West US|Tools Support|0|2024 R03|0|Bulk|MANUAL|Day 03|7/11/24|Thursday|10:00 PM|02:00 AM|7/12/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Running|Manila Shift
dgm0118a9|dbia|DEV|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 02|7/10/24|Wednesday|06:00 PM|10:00 PM|7/11/24|Thursday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
dgm0118aa|dbia|DEV|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 02|7/10/24|Wednesday|06:00 PM|10:00 PM|7/11/24|Thursday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
dgm0118ab|dbia|DEV|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 02|7/10/24|Wednesday|06:00 PM|10:00 PM|7/11/24|Thursday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
dgm0118ac|dbia|DEV|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 02|7/10/24|Wednesday|06:00 PM|10:00 PM|7/11/24|Thursday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
pgm011903|dbia|PROD|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
pgm011904|dbia|PROD|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
pgm011905|dbia|PROD|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
pgm011906|dbia|PROD|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
pgm011970|dbia|PROD|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|not patched|NOT YET Patched|Running|Manila Shift
pgm011971|dbia|PROD|West US|InfoSec Engineering|InfoSec.Ops.Engineering@safeway.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|09:00 PM|01:00 AM|7/28/24|Sunday|12:00 PM|04:00 PM|chet|not patched|NOT YET Patched|Running|Manila Shift
pgm011902|dbii|PROD|West US|cog.Database.ITOPs.Support|cog.Database.ITOPs.Support@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 19|7/27/24|Saturday|08:00 PM|12:00 AM|7/28/24|Sunday|11:00 AM|03:00 PM|chet|#N/A|PATCHED|Running|Manila Shift
qgm0118e0|dbii|QA|West US|cog.Database.ITOPs.Support|cog.Database.ITOPs.Support@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 03|7/11/24|Thursday|08:00 PM|12:00 AM|7/12/24|Friday|11:00 AM|03:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
zduwdvcoconfdev001|dvco|DEV|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 02|7/10/24|Wednesday|06:00 PM|10:00 PM|7/11/24|Thursday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Stopped (deallocated)|Manila Shift
zduwdvcoconfdev002|dvco|DEV|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 02|7/10/24|Wednesday|06:00 PM|10:00 PM|7/11/24|Thursday|09:00 AM|01:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
zsuwdvcoconfstg001|dvco|DEV|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 03|7/11/24|Thursday|08:00 PM|12:00 AM|7/12/24|Friday|11:00 AM|03:00 PM|glenn|#N/A|PATCHED|Running|Manila Shift
zpuwdvcoconfprd001|dvco|PROD|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 17|7/25/24|Thursday|10:00 PM|02:00 AM|7/26/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Stopped (deallocated)|Manila Shift
zpuwdvcoconfprd002|dvco|PROD|West US|Platform Services DevOps|Platform.DevOps@albertsons.com|2024 R03|0|Bulk|MANUAL|Day 17|7/25/24|Thursday|10:00 PM|02:00 AM|7/26/24|Friday|01:00 PM|05:00 PM|Chris|#N/A|PATCHED|Stopped (deallocated)|Manila Shift
